date,value
2016-01-01,7.46
2016-02-01,5.97
2016-03-01,5.52
2016-04-01,1.19
2016-05-01,0.94
2016-06-01,1.78
2016-07-01,0.72
2016-08-01,0.17
2016-09-01,1.06
2016-10-01,10.04
2016-11-01,6.48
2016-12-01,3.88
2017-01-01,4.22
2017-02-01,8.86
2017-03-01,7.33
2017-04-01,4.21
2017-05-01,2.29
2017-06-01,1.52
2017-07-01,0.0
2017-08-01,0.02
2017-09-01,0.59
2017-10-01,4.81
2017-11-01,8.65
2017-12-01,5.44
2018-01-01,8.12
2018-02-01,2.17
2018-03-01,2.44
2018-04-01,5.7
2018-05-01,0.12
2018-06-01,0.63
2018-07-01,0.05
2018-08-01,0.2
2018-09-01,1.05
2018-10-01,3.78
2018-11-01,5.43
2018-12-01,6.09
2019-01-01,3.83
2019-02-01,4.63
2019-03-01,1.37
2019-04-01,3.54
2019-05-01,0.62
2019-06-01,0.9
2019-07-01,1.15
2019-08-01,1.2
2019-09-01,3.32
2019-10-01,3.67
2019-11-01,1.71
2019-12-01,7.97
2020-01-01,9.23
2020-02-01,4.06
2020-03-01,3.17
2020-04-01,1.7
2020-05-01,3.13
2020-06-01,2.28
2020-07-01,0.17
2020-08-01,0.31
2020-09-01,2.48
2020-10-01,2.58
2020-11-01,5.58
2020-12-01,6.65
2021-01-01,8.75
2021-02-01,4.69
2021-03-01,2.62
2021-04-01,1.03
2021-05-01,1.13
2021-06-01,1.91
2021-07-01,0.0
2021-08-01,0.11
2021-09-01,3.02
2021-10-01,5.76
2021-11-01,10.26
2021-12-01,4.08
2022-01-01,7.07
2022-02-01,5.32
2022-03-01,3.32
2022-04-01,2.72
2022-05-01,3.82
2022-06-01,2.68
2022-07-01,0.19
2022-08-01,0.05
2022-09-01,0.25
2022-10-01,2.51
2022-11-01,5.49
2022-12-01,7.55
2023-01-01,3.09
2023-02-01,2.37
2023-03-01,2.57
2023-04-01,3.86
2023-05-01,0.94
2023-06-01,1.22
2023-07-01,0.09
2023-08-01,0.27
2023-09-01,3.44
2023-10-01,2.89
2023-11-01,5.79
2023-12-01,8.48
2024-01-01,6.53
2024-02-01,3.85
2024-03-01,2.37
2024-05-01,1.55
2024-06-01,1.19
2024-07-01,0.16
2024-08-01,1.65
2024-09-01,0.62
2024-10-01,3.05
2024-11-01,4.86
2024-12-01,5.49
2025-01-01,1.93
2025-02-01,3.48
2025-03-01,5.16
2025-04-01,2.56
2025-05-01,0.83
2025-06-01,0.42
2025-07-01,0.01
2025-08-01,1.14
2025-09-01,0.76
2025-10-01,3.7
2025-11-01,5.7
